transport_,new_source,new_destination
iterator_v2: 1141,vertica_writer.partners.rail_booking,vertica_writer.dm_maker_sandbox.historical_data_completeness
iterator_v2: 1489,vertica_writer.hotcore.hotel_bans_partner_contract_slugs,vertica_writer.dm_maker_sandbox.reprice_competitor_feeds
iterator_v2: 1309,vertica_writer.actualize.order_hotcore_rate,vertica_writer.analytics.order_base
iterator_v2: 580,vertica_writer.logs.dzen_access_json,vertica_writer.analytics.web_analytics_monitoring_uid_cookie
iterator_v2: 92,vertica_writer.payota.payment,vertica_writer.analytics_sandbox.failed_orderitem_20190411
iterator_v2: 950,vertica_writer.analytics.sessions,vertica_writer.analytics.cost_marketing
iterator_v2: 870,vertica_writer.analytics.b2b_partner_portrait,vertica_writer.dm_maker_sandbox.search_destination
iterator_v2: 1584,vertica_writer.public.booking,vertica_writer.dm_maker_sandbox.serp_analytics_mart_v2
iterator_v2: 627,vertica_writer.analytics.otahotel,vertica_writer.analytics.cost_cpc
iterator_v2: 781,vertica_writer.analytics.order_shipping_type,vertica_writer.dm_maker_sandbox.order_descriptive_attributes_v4
iterator_v2: 1269,vertica_writer.partners.order_metaorder,vertica_writer.dm_maker_sandbox.b2b_account_manager_desktop_v2
iterator_v2: 1174,vertica_writer.analytics.product_sessions,vertica_writer.dm_maker_sandbox.b2b_product_monitoring_tool_v3
iterator_v2: 592,vertica_writer.analytics.hit_funnel,vertica_writer.dm_maker_sandbox.uniue_hotels_by_provider
iterator_v2: 1565,vertica_writer.analytics.order_payment_date,vertica_writer.dm_maker_sandbox.tpp_balance_order_base
iterator_v2: 98,vertica_writer.v_catalog.views,vertica_writer.dm_maker_sandbox.table_last_usage
iterator_v1: 76,vertica_writer.analytics.region,vertica_writer.analytics.product_dashboard_source
iterator_v2: 454,vertica_writer.content.content_otahotel,vertica_writer.dm_maker_sandbox.bar_coverage
iterator_v2: 753,vertica_writer.diadmin.marketing_costsource,vertica_writer.analytics.cost_seo
iterator_v2: 359,vertica_writer.analytics.sessions,vertica_writer.dm_maker_sandbox.webuser_info_v2
iterator_v2: 343,vertica_writer.weblogs2.sessions_tags_v2,vertica_writer.dm_maker_sandbox.webuser_sid_sessions
iterator_v1: 97,vertica_writer.metasearch.dapi_clicklog,vertica_writer.metasearch.dapi_session_cost
iterator_v2: 807,vertica_writer.ostrota.orders_orderitem,vertica_writer.dm_maker_sandbox.order_descriptive_attributes_v9
iterator_v2: 422,vertica_writer.asterisk.parsed_call_log_v2,vertica_writer.dm_maker_sandbox.booking_call_v1
iterator_v2: 644,vertica_writer.analytics.hit_funnel,vertica_writer.dm_maker_sandbox.inventory_dahsboard_data
iterator_v2: 1070,vertica_writer.analytics.currency_converter,vertica_writer.dm_maker_sandbox.cancellation_dashboard_net_bookings_daily_v100_utc
iterator_v2: 594,vertica_writer.analytics.otahotel,vertica_writer.dm_maker_sandbox.hotelpage_score_data
iterator_v2: 1063,vertica_writer.analytics.hit_funnel,vertica_writer.dm_maker_sandbox.b2b_registration_form_channel_v3
iterator_v2: 1016,vertica_writer.public.booking,vertica_writer.dm_maker_sandbox.analytics_cancellation_model_partner_features
iterator_v2: 1603,vertica_writer.analytics.hit_funnel,vertica_writer.dm_maker_sandbox.install_session_test
iterator_v2: 1521,vertica_writer.analytics.agent_team_history,vertica_writer.dm_maker_sandbox.opscost_attribution_actions
iterator_v2: 917,vertica_writer.crm.action_log_action,vertica_writer.analytics.b2b_sales_manager_desktop
iterator_v2: 1294,vertica_writer.partners.partners_contractdata,vertica_writer.dm_maker_sandbox.overpay_too_many_cards
iterator_v2: 882,vertica_writer.analytics.currency_history,vertica_writer.analytics.cost_marketing
iterator_v2: 835,vertica_writer.payota.payment_operation,vertica_writer.dm_maker_sandbox.order_payota_b2c
iterator_v2: 374,vertica_writer.content.otahotel_content,vertica_writer.analytics_sandbox.metasearch_cost_20190530
iterator_v2: 661,vertica_writer.metasearch_sandbox.gha_campaigns_list,vertica_writer.analytics.cost_cpc
iterator_v2: 779,vertica_writer.ostrota.monitoring_orderlog_filtered,vertica_writer.dm_maker_sandbox.order_descriptive_attributes_v3
iterator_v2: 1463,vertica_writer.diadmin.antifraud_fraudulentorder,vertica_writer.analytics.fraudulent_order_detailed
iterator_v2: 968,vertica_writer.public.rate_reprice_kafka,vertica_writer.dm_maker_sandbox.supplier_why_not_selling
iterator_v2: 1020,vertica_writer.hotcore.source_tags_parsed,vertica_writer.dm_maker_sandbox.extranet_availability_metric_v2
iterator_v2: 885,vertica_writer.analytics.b2b_partner_portrait,vertica_writer.dm_maker_sandbox.search_destination_V2
